event_type,date,station_name,previous_name,lat,lon,memo
open,1914-05-01,池袋,,35.730924,139.710678,東上鉄道池袋～田面沢間営業開始
open,1914-05-01,下板橋,,35.745556,139.715,東上線0kp地点
open,1914-05-01,成増,,35.776612,139.632645,開業時は成増耕地
open,1914-05-01,膝折,,35.796736,139.600321,1932年朝霞に改称
open,1914-05-01,志木,,35.836111,139.574722,
open,1914-05-01,鶴瀬,,35.846389,139.552222,地元有志の寄付で設置
open,1914-05-01,上福岡,,35.873611,139.513611,
open,1914-05-01,新河岸,,35.891389,139.4975,
open,1914-05-01,川越町,,35.913667,139.481389,1922年川越市に改称
close,1915-02-27,田面沢,,,,"川越町～田面沢間廃止(ルート変更)"
open,1915-04-01,川越西町,,35.908472,139.483111,1940年川越に改称
open,1916-10-27,霞ヶ関,,35.977222,139.420833,
open,1916-10-27,坂戸町,,35.957222,139.394167,坂戸に簡略化(時期不明)
open,1914-06-17,上板橋,,35.764167,139.7025,
open,1922-12-01,川越市,,35.913667,139.481389,川越町から改称
open,1923-10-01,高坂,,35.998889,139.338056,
open,1923-10-01,武州松山,,35.999167,139.360556,1954年東松山に改称
open,1923-11-05,菅谷,,36.045556,139.325278,1935年武蔵嵐山に改称
open,1925-07-10,小川町,,36.058611,139.260833,東上線全通
open,1925-07-10,東武竹沢,,36.077778,139.242222,
open,1925-07-10,男衾,,36.1025,139.210556,
open,1925-07-10,鉢形,,36.111111,139.194722,
open,1925-07-10,玉淀,,36.115556,139.186111,
open,1925-07-10,寄居,,36.118611,139.194444,
rename,1932-05-10,朝霞,膝折,35.796736,139.600321,朝霞町誕生に伴い改称
rename,1935-10-01,武蔵嵐山,菅谷,36.045556,139.325278,嵐山渓谷の評判により
open,1931-08-25,大山,,35.7475,139.703889,
open,1931-09-27,金井窪,,35.746833,139.708889,下板橋～大山間
open,1932-04-10,鶴ヶ島,,35.935833,139.411667,
open,1933-07-12,中板橋,,35.751389,139.7075,
open,1934-02-01,和光市,,35.788611,139.6125,
open,1934-05-01,北池袋,,35.734444,139.709167,
open,1935-10-20,ときわ台,,35.757778,139.698333,
open,1930-12-29,下赤塚,,35.770556,139.643333,
open,1931-12-29,東武練馬,,35.778333,139.648889,
rename,1940-07-22,川越,川越西町,35.908472,139.483111,町名変更に伴い
close,1945-04-15,金井窪,,35.746833,139.708889,東京大空襲で全焼・廃止
rename,1954-10-01,東松山,武州松山,35.999167,139.360556,東松山市発足に伴い
open,1973-08-21,北坂戸,,35.972222,139.376111,
open,1974-08-06,朝霞台,,35.814167,139.5875,武蔵野線乗換
open,1977-10-21,みずほ台,,35.838889,139.558611,信号所から昇格
open,1979-04-02,若葉,,35.942778,139.403056,
open,1979-11-08,柳瀬川,,35.825833,139.565,
open,1993-11-15,ふじみ野,,35.859444,139.5225,
open,2002-03-26,つきのわ,,36.034722,139.308611,森林公園～武蔵嵐山間
open,2020-10-31,みなみ寄居,,36.092417,139.2365,東武竹沢～男衾間
